customer_id,signup_date,gender,age,city,state,acquisition_channel,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
C04872,2025-08-26,Female,30.0,Guwahati,Assam,Paid Ads,360.0,10.0,34273.0,1,5,4,10.0,At Risk
C01026,2025-04-29,Female,32.0,Udaipur,Rajasthan,Organic Search,12.0,8.0,18915.0,5,5,3,13.0,Loyal Customers
C03193,2026-01-21,Male,56.0,Kolkata,West Bengal,Referral,169.0,9.0,55639.0,2,5,5,12.0,At Risk
C02895,2024-03-15,Male,31.0,Mumbai,Maharashtra,Paid Ads,21.0,3.0,22618.0,5,3,3,11.0,Loyal Customers
C04393,2025-06-03,Female,39.0,Indore,Madhya Pradesh,Organic Search,60.0,1.0,4568.0,3,1,1,5.0,Lost
C04402,2025-12-05,Male,30.0,Visakhapatnam,Andhra Pradesh,Organic Search,220.0,1.0,7726.0,1,1,2,4.0,Lost
C02418,2025-11-18,Male,41.0,Pune,Maharashtra,Organic Search,35.0,5.0,14073.0,4,4,3,11.0,Loyal Customers
C01096,2026-04-04,Female,35.0,Mysuru,Karnataka,Social Media,38.0,5.0,12185.0,4,4,2,10.0,Loyal Customers
C04458,2025-08-05,Female,31.0,Vijayawada,Andhra Pradesh,Organic Search,260.0,1.0,5318.0,1,1,1,3.0,Lost
C00706,2024-12-18,Female,31.0,Surat,Gujarat,Paid Ads,314.0,4.0,33377.0,1,3,4,8.0,At Risk
C02375,2025-06-29,Male,37.0,Patna,Bihar,Referral,37.0,5.0,44500.0,4,4,5,13.0,Champions
C00531,2025-06-30,Male,37.0,Chandigarh,Chandigarh,Social Media,42.0,7.0,22256.0,4,4,3,11.0,Loyal Customers
C00801,2025-07-01,Female,24.0,Chandigarh,Chandigarh,Paid Ads,127.0,1.0,8276.0,2,1,2,5.0,Lost
C04523,2026-02-23,Female,22.0,Coimbatore,Tamil Nadu,Email,188.0,14.0,43034.0,2,5,5,12.0,At Risk
C01457,2024-08-12,Female,29.0,Nagpur,Maharashtra,Paid Ads,438.0,1.0,10467.0,1,1,2,4.0,Lost
C01392,2026-06-24,Female,28.0,Ahmedabad,Gujarat,Paid Ads,6.0,1.0,3089.0,5,1,1,7.0,Potential Loyalists
C03647,2026-03-13,Female,37.0,Udaipur,Rajasthan,Social Media,11.0,5.0,36330.0,5,4,4,13.0,Champions
C03197,2025-01-23,Female,43.0,Surat,Gujarat,Social Media,,,,,,,,No Completed Purchase
C02672,2026-06-14,Male,18.0,Indore,Madhya Pradesh,Social Media,25.0,11.0,40898.0,5,5,4,14.0,Champions
C04465,2024-05-19,Female,18.0,Pune,Maharashtra,Organic Search,117.0,6.0,66178.0,2,4,5,11.0,At Risk
C00066,2025-11-26,Female,31.0,Coimbatore,Tamil Nadu,Organic Search,6.0,1.0,1619.0,5,1,1,7.0,Potential Loyalists
C00158,2025-11-12,Male,31.0,Jaipur,Rajasthan,Social Media,197.0,1.0,2225.0,2,1,1,4.0,Lost
C03269,2025-04-04,Male,40.0,Visakhapatnam,Andhra Pradesh,Organic Search,155.0,3.0,42778.0,2,3,5,10.0,At Risk
C04100,2026-03-14,Female,31.0,Visakhapatnam,Andhra Pradesh,Organic Search,6.0,3.0,13592.0,5,3,3,11.0,Loyal Customers
C00627,2026-07-24,Male,35.0,Hyderabad,Telangana,Email,54.0,3.0,38748.0,4,2,4,10.0,Potential Loyalists
C01966,2026-06-12,Female,37.0,Faridabad,Haryana,Paid Ads,54.0,1.0,469.0,4,1,1,6.0,Potential Loyalists
C01439,2024-07-17,Male,26.0,Ranchi,Jharkhand,Paid Ads,234.0,3.0,13094.0,1,2,3,6.0,Lost
C02241,2026-07-25,Female,31.0,Bhopal,Madhya Pradesh,Paid Ads,166.0,4.0,8835.0,2,3,2,7.0,At Risk
C03012,2025-08-29,Female,29.0,Mumbai,Maharashtra,Referral,32.0,1.0,7198.0,4,1,2,7.0,Potential Loyalists
C03904,2025-08-06,Female,18.0,Pune,Maharashtra,Organic Search,18.0,9.0,25074.0,5,5,4,14.0,Champions
C03516,2025-03-05,Female,31.0,Jaipur,Rajasthan,Social Media,230.0,9.0,67440.0,1,5,5,11.0,At Risk
C00643,2025-01-24,Female,31.0,Guwahati,Assam,Organic Search,145.0,4.0,14293.0,2,3,3,8.0,At Risk
C01927,2025-07-31,Male,35.0,Noida,Uttar Pradesh,Email,346.0,2.0,17083.0,1,2,3,6.0,Lost
C02188,2025-07-05,Female,25.0,Chandigarh,Chandigarh,Referral,,,,,,,,No Completed Purchase
C00684,2024-10-07,Male,37.0,Pune,Maharashtra,Paid Ads,34.0,3.0,12494.0,4,2,2,8.0,Potential Loyalists
C00677,2026-05-28,Female,22.0,Delhi,Delhi,Paid Ads,130.0,10.0,132699.0,2,5,5,12.0,At Risk
C01895,2025-03-01,Female,18.0,Nagpur,Maharashtra,Social Media,140.0,12.0,57388.0,2,5,5,12.0,At Risk
C01877,2025-01-11,Male,35.0,Jaipur,Rajasthan,Referral,141.0,1.0,5807.0,2,1,1,4.0,Lost
C01058,2026-04-14,Female,31.0,Ahmedabad,Gujarat,Referral,45.0,1.0,1649.0,4,1,1,6.0,Potential Loyalists
C04096,2024-09-11,Female,28.0,Patna,Bihar,Referral,137.0,1.0,11157.0,2,1,2,5.0,Lost
C02747,2025-11-19,Male,42.0,Udaipur,Rajasthan,Social Media,27.0,3.0,5256.0,5,3,1,9.0,Loyal Customers
C02835,2025-10-22,Female,38.0,Jaipur,Rajasthan,Social Media,40.0,2.0,35872.0,4,2,4,10.0,Potential Loyalists
C04425,2025-03-01,Male,30.0,Bhopal,Madhya Pradesh,Paid Ads,49.0,3.0,4326.0,4,3,1,8.0,Loyal Customers
C00297,2025-02-13,Male,31.0,Pune,Maharashtra,Email,56.0,8.0,40276.0,3,4,4,11.0,Loyal Customers
C03746,2025-02-28,Female,35.0,Delhi,Delhi,Organic Search,85.0,8.0,65158.0,3,5,5,13.0,Loyal Customers
C03602,2025-12-19,Male,31.0,Bhubaneswar,Odisha,Organic Search,,,,,,,,No Completed Purchase
C04697,2026-07-07,Female,22.0,Kolkata,West Bengal,Social Media,37.0,8.0,53318.0,4,5,5,14.0,Champions
C04204,2026-06-16,Female,30.0,Delhi,Delhi,Paid Ads,35.0,4.0,16922.0,4,3,3,10.0,Loyal Customers
C02381,2026-01-07,Male,36.0,Thiruvananthapuram,Kerala,Organic Search,233.0,13.0,163538.0,1,5,5,11.0,At Risk
C01256,2025-10-16,Male,33.0,Chennai,Tamil Nadu,Social Media,287.0,4.0,48794.0,1,3,5,9.0,At Risk
C00169,2025-02-12,Male,31.0,Patna,Bihar,Paid Ads,1.0,9.0,63972.0,5,5,5,15.0,Champions
C02875,2026-05-06,Female,38.0,Bhubaneswar,Odisha,Paid Ads,25.0,4.0,56468.0,5,3,5,13.0,Loyal Customers
C00030,2025-12-28,Male,31.0,Gurugram,Haryana,Organic Search,7.0,2.0,5706.0,5,2,1,8.0,Potential Loyalists
C01748,2025-03-29,Female,37.0,Faridabad,Haryana,Paid Ads,277.0,2.0,12075.0,1,2,2,5.0,Lost
C04981,2025-12-28,Male,31.0,Guwahati,Assam,Social Media,230.0,2.0,8066.0,1,2,2,5.0,Lost
C03888,2024-06-24,Male,19.0,Surat,Gujarat,Paid Ads,145.0,2.0,4126.0,2,2,1,5.0,Lost
