order_item_id,order_id,product_id,quantity,unit_price,quantity_outlier
OI0005573,O002594,P0082,1,2319.0,False
OI0048314,O022613,P0027,1,3309.0,False
OI0028345,O013280,P0114,1,2449.0,False
OI0019820,O009291,P0110,1,2369.0,False
OI0007300,O003430,P0032,3,2129.0,False
OI0048259,O022586,P0035,1,469.0,False
OI0000110,O000059,P0078,1,2479.0,False
OI0040122,O018693,P0019,2,1249.0,False
OI0042007,O019594,P0078,1,2479.0,False
OI0019823,O009293,P0001,1,1479.0,False
OI0057097,O026578,P0051,2,359.0,False
OI0014085,O006557,P0121,1,1429.0,False
OI0026451,O012422,P0058,1,1699.0,False
OI0029672,O013867,P0079,2,2439.0,False
OI0039873,O018573,P0003,1,329.0,False
OI0006007,O002807,P0070,2,2019.0,False
OI0019796,O009280,P0019,1,1249.0,False
OI0041101,O019200,P0060,1,2269.0,False
OI0031047,O014514,P0045,1,2259.0,False
OI0012958,O006037,P0041,1,3489.0,False
OI0024280,O011420,P0073,1,1649.0,False
OI0013672,O006349,P0101,1,3329.0,False
OI0050550,O023597,P0076,1,3209.0,False
OI0030578,O014296,P0080,2,1109.0,False
OI0018068,O008469,P0097,1,3189.0,False
OI0002248,O001040,P0016,2,2519.0,False
OI0029963,O013999,P0099,3,3719.0,False
OI0030885,O014432,P0048,3,2009.0,False
OI0039369,O018327,P0042,1,1039.0,False
OI0016488,O007761,P0122,1,2319.0,False
OI0008043,O003791,P0090,1,1419.0,False
OI0050485,O023565,P0128,1,809.0,False
OI0047229,O022126,P0126,1,959.0,False
OI0005786,O002687,P0115,2,3599.0,False
OI0042967,O020011,P0115,1,3599.0,False
OI0051049,O023816,P0031,1,2139.0,False
OI0050856,O023724,P0098,1,1899.0,False
OI0008781,O004132,P0098,2,1899.0,False
OI0029367,O013723,P0061,1,3279.0,False
OI0016701,O007857,P0003,1,329.0,False
OI0055954,O026055,P0019,3,1249.0,False
OI0057900,O026919,P0061,1,3279.0,False
OI0036690,O017142,P0080,1,1109.0,False
OI0014410,O006721,P0025,1,2039.0,False
OI0009392,O004395,P0047,2,1979.0,False
OI0032740,O015282,P0112,1,559.0,False
OI0005090,O002374,P0021,1,579.0,False
OI0057784,O026857,P0127,2,4309.0,False
OI0040882,O019085,P0065,3,339.0,False
OI0040327,O018770,P0100,1,1349.0,False
OI0035912,O016769,P0017,1,469.0,False
OI0042576,O019843,P0091,2,1059.0,False
OI0045851,O021407,P0099,1,3719.0,False
OI0000907,O000408,P0003,1,329.0,False
OI0048772,O022825,P0122,1,2319.0,False
OI0017404,O008195,P0037,1,279.0,False
OI0052690,O024592,P0118,1,1229.0,False
OI0009289,O004344,P0070,2,2019.0,False
OI0054739,O025530,P0082,3,2319.0,False
OI0050812,O023709,P0069,1,2179.0,False
OI0016073,O007556,P0093,1,879.0,False
OI0044902,O020920,P0108,1,2569.0,False
OI0056201,O026171,P0128,2,809.0,False
OI0035541,O016590,P0097,1,3189.0,False
OI0024590,O011557,P0104,1,249.0,False
OI0021239,O009956,P0019,2,1249.0,False
OI0051869,O024195,P0029,1,719.0,False
OI0046260,O021628,P0029,1,719.0,False
OI0014447,O006734,P0082,1,2319.0,False
OI0026539,O012456,P0042,1,1039.0,False
OI0031443,O014687,P0029,1,719.0,False
OI0008820,O004143,P0099,2,3719.0,False
OI0050593,O023620,P0128,2,809.0,False
OI0039816,O018537,P0017,1,469.0,False
OI0008742,O004116,P0004,3,439.0,False
OI0001181,O000515,P0082,2,2319.0,False
OI0018675,O008747,P0082,1,2319.0,False
OI0004679,O002209,P0119,1,1169.0,False
OI0002908,O001349,P0073,1,1649.0,False
OI0057407,O026702,P0027,1,3309.0,False
OI0000730,O000327,P0099,1,3719.0,False
OI0026460,O012426,P0076,1,3209.0,False
