customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
C00002,12,1,9127.0,5,1,2,8,Potential Loyalists
C00003,163,3,13693.0,2,2,3,7,Lost
C00004,142,4,11366.0,2,3,2,7,At Risk
C00005,118,1,7338.0,2,1,2,5,Lost
C00006,32,2,6755.0,4,2,2,8,Potential Loyalists
C00007,18,5,15099.0,5,3,3,11,Loyal Customers
C00008,193,1,588.0,2,1,1,4,Lost
C00009,4,1,5238.0,5,1,1,7,Potential Loyalists
C00010,80,12,51359.0,3,5,5,13,Loyal Customers
C00011,216,6,23711.0,1,4,4,9,At Risk
C00012,346,3,22361.0,1,2,3,6,Lost
C00013,28,1,3719.0,4,1,1,6,Potential Loyalists
C00014,122,4,26697.0,2,3,4,9,At Risk
C00015,121,7,14408.0,2,4,3,9,At Risk
C00016,113,6,33739.0,3,4,4,11,Loyal Customers
C00017,10,4,35783.0,5,3,4,12,Loyal Customers
C00018,100,3,44879.0,3,2,5,10,Lost
C00019,105,3,11184.0,3,2,2,7,Lost
C00020,66,1,9597.0,3,1,2,6,Lost
C00021,460,1,6656.0,1,1,2,4,Lost
C00022,26,2,10405.0,5,2,2,9,Potential Loyalists
C00023,15,11,155788.0,5,5,5,15,Champions
C00024,321,1,6957.0,1,1,2,4,Lost
C00025,277,11,91172.0,1,5,5,11,At Risk
C00026,31,4,11795.0,4,3,2,9,Loyal Customers
C00027,5,3,18322.0,5,2,3,10,Potential Loyalists
C00028,502,13,48127.0,1,5,5,11,At Risk
C00029,22,5,20503.0,5,3,3,11,Loyal Customers
C00030,7,2,5706.0,5,2,1,8,Potential Loyalists
C00031,179,9,75048.0,2,5,5,12,At Risk
C00032,21,3,22819.0,5,2,3,10,Potential Loyalists
C00033,27,1,2358.0,5,1,1,7,Potential Loyalists
C00034,3,10,46975.0,5,5,5,15,Champions
C00035,183,6,43576.0,2,4,5,11,At Risk
C00036,144,3,9476.0,2,2,2,6,Lost
C00037,24,6,56556.0,5,4,5,14,Champions
C00038,36,2,11315.0,4,2,2,8,Potential Loyalists
C00039,171,15,50775.0,2,5,5,12,At Risk
C00040,4,5,25707.0,5,3,4,12,Loyal Customers
C00041,6,2,22836.0,5,2,3,10,Potential Loyalists
C00042,148,6,36033.0,2,4,4,10,At Risk
C00043,187,3,7576.0,2,2,2,6,Lost
C00045,27,3,11406.0,5,2,2,9,Potential Loyalists
C00046,174,12,53819.0,2,5,5,12,At Risk
C00047,34,11,46908.0,4,5,5,14,Champions
C00048,446,4,6694.0,1,3,2,6,At Risk
C00049,73,11,31183.0,3,5,4,12,Loyal Customers
C00050,56,4,59991.0,3,3,5,11,Loyal Customers
C00051,41,5,32861.0,4,3,4,11,Loyal Customers
C00052,48,14,157560.0,4,5,5,14,Champions
C00053,301,1,809.0,1,1,1,3,Lost
C00054,23,2,11604.0,5,2,2,9,Potential Loyalists
C00055,82,8,17699.0,3,4,3,10,Loyal Customers
C00056,91,3,12752.0,3,2,2,7,Lost
C00057,137,8,29655.0,2,4,4,10,At Risk
C00058,384,9,116452.0,1,5,5,11,At Risk
C00059,195,9,50496.0,2,5,5,12,At Risk
C00060,50,1,8677.0,4,1,2,7,Potential Loyalists
C00061,121,11,33899.0,2,5,4,11,At Risk
C00062,185,4,10523.0,2,3,2,7,At Risk
C00063,40,2,3856.0,4,2,1,7,Potential Loyalists
C00064,220,4,29636.0,1,3,4,8,At Risk
C00066,6,1,1619.0,5,1,1,7,Potential Loyalists
C00067,14,4,18083.0,5,3,3,11,Loyal Customers
C00068,35,3,16584.0,4,2,3,9,Potential Loyalists
C00069,159,15,39441.0,2,5,4,11,At Risk
C00070,143,4,29616.0,2,3,4,9,At Risk
C00072,39,4,13642.0,4,3,3,10,Loyal Customers
C00073,227,1,4578.0,1,1,1,3,Lost
C00074,204,4,13502.0,2,3,3,8,At Risk
C00075,29,4,21748.0,4,3,3,10,Loyal Customers
C00076,46,5,71238.0,4,3,5,12,Loyal Customers
C00077,25,4,14181.0,5,3,3,11,Loyal Customers
C00078,287,6,22508.0,1,4,3,8,At Risk
C00079,50,3,7935.0,4,2,2,8,Potential Loyalists
C00081,28,3,18989.0,4,2,3,9,Potential Loyalists
C00082,103,7,20777.0,3,4,3,10,Loyal Customers
C00084,143,1,10875.0,2,1,2,5,Lost
C00085,12,5,55690.0,5,3,5,13,Loyal Customers
C00086,7,14,95810.0,5,5,5,15,Champions
C00087,160,10,32012.0,2,5,4,11,At Risk
C00088,141,1,3527.0,2,1,1,4,Lost
C00089,100,7,31326.0,3,4,4,11,Loyal Customers
C00090,28,1,2088.0,4,1,1,6,Potential Loyalists
C00091,193,3,9325.0,2,2,2,6,Lost
C00092,248,1,7237.0,1,1,2,4,Lost
C00093,6,6,17591.0,5,4,3,12,Loyal Customers
C00094,103,9,36631.0,3,5,4,12,Loyal Customers
C00095,53,3,10394.0,4,2,2,8,Potential Loyalists
C00096,173,1,4378.0,2,1,1,4,Lost
C00097,21,4,13614.0,5,3,3,11,Loyal Customers
C00098,8,3,15090.0,5,2,3,10,Potential Loyalists
C00099,175,8,14748.0,2,4,3,9,At Risk
C00100,26,15,59072.0,5,5,5,15,Champions
C00101,229,2,9893.0,1,2,2,5,Lost
C00102,27,7,83304.0,5,4,5,14,Champions
C00103,4,2,8605.0,5,2,2,9,Potential Loyalists
C00104,332,1,2319.0,1,1,1,3,Lost
C00105,53,2,12214.0,4,2,2,8,Potential Loyalists
C00106,64,6,16428.0,3,4,3,10,Loyal Customers
C00107,4,4,39267.0,5,3,4,12,Loyal Customers
C00108,10,3,36732.0,5,2,4,11,Potential Loyalists
C00109,188,1,1649.0,2,1,1,4,Lost
C00110,13,1,5987.0,5,1,1,7,Potential Loyalists
C00111,23,2,1248.0,5,2,1,8,Potential Loyalists
C00112,336,6,12933.0,1,4,2,7,At Risk
C00113,27,3,4985.0,5,2,1,8,Potential Loyalists
C00115,556,2,16243.0,1,2,3,6,Lost
C00116,57,7,20520.0,3,4,3,10,Loyal Customers
C00117,94,16,99845.0,3,5,5,13,Loyal Customers
C00118,17,6,42898.0,5,4,5,14,Champions
C00119,105,1,8221.0,3,1,2,6,Lost
C00120,10,1,7374.0,5,1,2,8,Potential Loyalists
C00121,82,1,6145.0,3,1,1,5,Lost
C00122,172,5,32365.0,2,3,4,9,At Risk
C00123,24,3,36754.0,5,2,4,11,Potential Loyalists
C00124,27,1,3418.0,5,1,1,7,Potential Loyalists
C00125,5,4,40476.0,5,3,4,12,Loyal Customers
C00126,432,8,22949.0,1,4,4,9,At Risk
C00127,13,8,24508.0,5,4,4,13,Champions
C00128,151,8,35494.0,2,4,4,10,At Risk
C00129,38,11,56006.0,4,5,5,14,Champions
C00130,195,4,9556.0,2,3,2,7,At Risk
C00131,42,2,7817.0,4,2,2,8,Potential Loyalists
C00132,145,8,35902.0,2,4,4,10,At Risk
C00133,95,2,6117.0,3,2,1,6,Lost
C00134,34,2,11081.0,4,2,2,8,Potential Loyalists
C00135,20,7,58153.0,5,4,5,14,Champions
C00136,369,4,27228.0,1,3,4,8,At Risk
C00138,12,5,12601.0,5,3,2,10,Loyal Customers
C00139,61,15,40244.0,3,5,4,12,Loyal Customers
C00140,36,1,5758.0,4,1,1,6,Potential Loyalists
C00141,138,3,7825.0,2,2,2,6,Lost
C00142,96,11,87663.0,3,5,5,13,Loyal Customers
C00143,474,1,7907.0,1,1,2,4,Lost
C00144,124,1,3018.0,2,1,1,4,Lost
C00145,84,5,21086.0,3,3,3,9,Loyal Customers
C00146,381,6,67857.0,1,4,5,10,At Risk
C00147,27,2,6504.0,5,2,1,8,Potential Loyalists
C00148,157,5,19451.0,2,3,3,8,At Risk
C00149,493,3,14912.0,1,2,3,6,Lost
C00150,89,12,37221.0,3,5,4,12,Loyal Customers
C00151,310,2,1478.0,1,2,1,4,Lost
