customer_id,signup_date,gender,age,city,state,acquisition_channel
C04872,2025-08-26,Female,30,Guwahati,Assam,Paid Ads
C01026,2025-04-29,Female,32,Udaipur,Rajasthan,Organic Search
C03193,2026-01-21,Male,56,Kolkata,West Bengal,Referral
C02895,2024-03-15,Male,,Mumbai,Maharashtra,Paid Ads
C04393,2025-06-03,Female,39,Indore,Madhya Pradesh,Organic Search
C04402,2025-12-05,Male,30,Visakhapatnam,Andhra Pradesh,Organic Search
C02418,2025-11-18,Male,41,Pune,Maharashtra,Organic Search
C01096,2026-04-04,Female,35,Mysuru,Karnataka,Social Media
C04458,2025-08-05,Female,31,Vijayawada,Andhra Pradesh,Organic Search
C00706,2024-12-18,Female,,Surat,Gujarat,Paid Ads
C02375,2025-06-29,Male,37,Patna,Bihar,Referral
C00531,2025-06-30,Male,37,Chandigarh,Chandigarh,Social Media
C00801,2025-07-01,Female,24,Chandigarh,Chandigarh,Paid Ads
C04523,2026-02-23,Female,22,Coimbatore,Tamil Nadu,Email
C01457,2024-08-12,Female,29,Nagpur,Maharashtra,Paid Ads
C01392,2026-06-24,Female,28,Ahmedabad,Gujarat,Paid Ads
C03647,2026-03-13,Female,37,Udaipur,Rajasthan,Social Media
C03197,2025-01-23,Female,43,Surat,Gujarat,Social Media
C02672,2026-06-14,Male,18,Indore,Madhya Pradesh,Social Media
C04465,2024-05-19,Female,18,Pune,Maharashtra,Organic Search
C00066,2025-11-26,Female,,Coimbatore,Tamil Nadu,Organic Search
C00158,2025-11-12,Male,,Jaipur,Rajasthan,Social Media
C03269,2025-04-04,Male,40,Visakhapatnam,Andhra Pradesh,Organic Search
C04100,2026-03-14,Female,31,Visakhapatnam,Andhra Pradesh,Organic Search
C00627,2026-07-24,Male,35,Hyderabad,Telangana,Email
C01966,2026-06-12,Female,37,Faridabad,Haryana,Paid Ads
C01439,2024-07-17,Male,26,Ranchi,Jharkhand,Paid Ads
C02241,2026-07-25,Female,31,Bhopal,Madhya Pradesh,Paid Ads
C03012,2025-08-29,Female,29,Mumbai,Maharashtra,Referral
C03904,2025-08-06,Female,18,Pune,Maharashtra,Organic Search
C03516,2025-03-05,Female,31,Jaipur,Rajasthan,Social Media
C00643,2025-01-24,Female,,Guwahati,Assam,Organic Search
C01927,2025-07-31,Male,35,Noida,Uttar Pradesh,Email
C02188,2025-07-05,Female,25,Chandigarh,Chandigarh,Referral
C00684,2024-10-07,Male,37,Pune,Maharashtra,Paid Ads
C00677,2026-05-28,Female,22,Delhi,Delhi,Paid Ads
C01895,2025-03-01,Female,18,Nagpur,Maharashtra,Social Media
C01877,2025-01-11,Male,35,Jaipur,Rajasthan,Referral
C01058,2026-04-14,Female,,Ahmedabad,Gujarat,Referral
C04096,2024-09-11,Female,28,Patna,Bihar,Referral
C02747,2025-11-19,Male,42,Udaipur,Rajasthan,Social Media
C02835,2025-10-22,Female,38,Jaipur,Rajasthan,Social Media
C04425,2025-03-01,Male,30,Bhopal,Madhya Pradesh,Paid Ads
C00297,2025-02-13,Male,,Pune,Maharashtra,Email
C03746,2025-02-28,Female,35,Delhi,Delhi,Organic Search
C03602,2025-12-19,Male,,Bhubaneswar,Odisha,Organic Search
C04697,2026-07-07,Female,22,Kolkata,West Bengal,Social Media
C04204,2026-06-16,Female,30,Delhi,Delhi,Paid Ads
C02381,2026-01-07,Male,36,Thiruvananthapuram,Kerala,Organic Search
C01256,2025-10-16,Male,33,Chennai,Tamil Nadu,Social Media
C00169,2025-02-12,Male,,Patna,Bihar,Paid Ads
C02875,2026-05-06,Female,38,Bhubaneswar,Odisha,Paid Ads
C00030,2025-12-28,Male,,Gurugram,Haryana,Organic Search
C01748,2025-03-29,Female,37,Faridabad,Haryana,Paid Ads
C04981,2025-12-28,Male,31,Guwahati,Assam,Social Media
C03888,2024-06-24,Male,19,Surat,Gujarat,Paid Ads
C02112,2026-01-26,Male,18,Delhi,Delhi,Paid Ads
C04813,2026-03-07,Male,45,Gurugram,Haryana,Organic Search
C02810,2025-11-07,Male,20,Patna,,Referral
C02102,2026-07-29,Male,23,Lucknow,Uttar Pradesh,Organic Search
C01011,2026-04-29,Female,19,Kochi,Kerala,Referral
C04291,2026-04-22,Female,28,Udaipur,Rajasthan,Referral
C00545,2024-12-29,Female,46,Chandigarh,Chandigarh,Organic Search
C01742,2024-09-13,Female,38,Kanpur,Uttar Pradesh,Paid Ads
C03729,2024-10-24,Female,23,Vijayawada,,Organic Search
C04814,2024-12-22,Male,36,Surat,Gujarat,Organic Search
C01718,2024-08-07,Male,26,Hyderabad,Telangana,Paid Ads
C00995,2025-12-15,Female,40,Jaipur,Rajasthan,Paid Ads
C03984,2025-11-14,Male,39,Patna,Bihar,Email
C02797,2026-02-19,Female,25,Kanpur,Uttar Pradesh,Paid Ads
C04057,2025-11-04,Male,37,Kolkata,West Bengal,Social Media
C00024,2025-08-24,Male,,Udaipur,Rajasthan,Social Media
C00950,2026-03-17,Other,37,Bhubaneswar,Odisha,Organic Search
C00241,2026-05-09,Female,,Ranchi,Jharkhand,Organic Search
C01555,2025-12-20,Male,45,Bhubaneswar,Odisha,Organic Search
C01435,2025-10-20,Female,42,Surat,Gujarat,Paid Ads
C01671,2024-10-08,Female,,Noida,Uttar Pradesh,Organic Search
C00486,2026-01-25,Female,51,Kolkata,West Bengal,Referral
C03428,2025-12-25,Male,23,CHANDIGARH,Chandigarh,Paid Ads
C03649,2024-08-23,Female,45,Bhopal,Madhya Pradesh,Email
C04270,2026-01-22,Male,24,Udaipur,Rajasthan,Social Media
C00804,2025-09-05,Female,28,Bhubaneswar,Odisha,Paid Ads
C04772,2025-01-22,Male,,Jaipur,Rajasthan,Paid Ads
C01740,2026-05-31,Male,26,Mumbai,Maharashtra,Social Media
C03041,2025-06-14,Female,26,Faridabad,Haryana,Social Media
C02196,2026-04-22,Other,18,Kanpur,Uttar Pradesh,Organic Search
C00085,2025-02-17,Female,,Bhubaneswar,Odisha,Organic Search
C02124,2025-05-09,Male,,Gurugram,Haryana,Social Media
C03015,2026-06-03,Female,29,Kochi,Kerala,Paid Ads
C02534,2025-10-26,Male,30,Bengaluru,Karnataka,Organic Search
C01872,2025-05-01,Female,36,Nagpur,Maharashtra,Referral
C00107,2025-04-18,Male,,Indore,Madhya Pradesh,Organic Search
C04638,2026-03-22,Other,22,Bengaluru,Karnataka,Organic Search
C04866,2025-10-05,Female,40,Coimbatore,Tamil Nadu,Social Media
C01579,2025-10-24,Male,38,Visakhapatnam,Andhra Pradesh,Email
C00200,2026-02-09,Female,,Kochi,Kerala,Social Media
C04957,2026-01-02,Female,26,Faridabad,Haryana,Organic Search
C03064,2024-12-22,Female,23,Guwahati,Assam,Organic Search
C04953,2026-01-20,Male,33,Kanpur,Uttar Pradesh,Organic Search
C04239,2026-06-29,Female,29,Udaipur,Rajasthan,Paid Ads
C02838,2026-05-20,Female,32,Ahmedabad,Gujarat,Social Media
C03128,2025-07-31,Female,40,Patna,Bihar,Email
C02182,2025-12-17,Female,24,Vijayawada,Andhra Pradesh,Paid Ads
C03412,2026-06-03,Female,27,Noida,Uttar Pradesh,Email
C00882,2025-03-07,Male,18,Hyderabad,Telangana,Organic Search
C04221,2024-10-25,Female,21,Ahmedabad,Gujarat,Social Media
C04568,2025-03-17,Male,19,Kochi,Kerala,Social Media
C04127,2025-05-18,Female,41,Hyderabad,Telangana,Organic Search
C00554,2025-12-19,Female,21,Kolkata,West Bengal,Referral
C00734,2025-08-22,Female,29,Thiruvananthapuram,Kerala,Email
C00180,2025-07-21,Female,,Udaipur,Rajasthan,Social Media
C00417,2025-12-12,Female,35,Gurugram,Haryana,Paid Ads
C00080,2024-10-11,Male,,Ahmedabad,Gujarat,Paid Ads
C00473,2024-06-22,Female,,Patna,Bihar,Organic Search
C00671,2024-07-01,Female,29,Kochi,,Referral
C04906,2025-06-18,Male,18,Udaipur,Rajasthan,Email
C01502,2025-05-29,Male,,Vijayawada,Andhra Pradesh,Paid Ads
C02802,2026-06-08,Male,,Gurugram,Haryana,Organic Search
C02093,2025-06-07,Female,34,Kanpur,Uttar Pradesh,Paid Ads
C00249,2025-11-23,Female,,Surat,Gujarat,Organic Search
C00539,2026-01-14,Female,45,Kochi,Kerala,Referral
C01346,2025-12-10,Female,32,Bengaluru,Karnataka,Organic Search
C04696,2025-07-24,Male,18,Visakhapatnam,Andhra Pradesh,Email
C01271,2025-07-14,Female,21,Vijayawada,Andhra Pradesh,Paid Ads
C00229,2024-11-19,Male,,Hyderabad,Telangana,Paid Ads
C00298,2025-02-19,Male,22,Pune,Maharashtra,Paid Ads
C02820,2025-03-02,Female,,Kolkata,West Bengal,Social Media
C04160,2025-04-12,Female,36,Ahmedabad,Gujarat,Organic Search
C01184,2025-09-26,Male,18,Hyderabad,Telangana,Organic Search
