order_id,customer_id,order_date,payment_method,order_status,discount_amount,shipping_fee
O026838,C04030,2026-08-09,Debit Card,Completed,0.0,0.0
O022611,C02873,2025-03-23,UPI,Completed,2480.3,0.0
O003844,C02851,2025-12-23,UPI,Completed,0.0,0.0
O002908,C01615,2025-04-23,Cash on Delivery,Completed,0.0,0.0
O012141,C00559,2026-07-29,UPI,Completed,0.0,0.0
O014350,C00901,2026-01-20,Credit Card,Completed,0.0,0.0
O015965,C03632,2026-01-06,Net Banking,Cancelled,559.71,0.0
O016405,C00019,2026-05-18,Debit Card,Completed,0.0,0.0
O005815,C04528,2026-02-28,Credit Card,Completed,0.0,0.0
O024436,C01582,2026-04-13,Credit Card,Completed,0.0,0.0
O006259,C04387,2025-10-04,Net Banking,Cancelled,89.27,0.0
O003835,C01993,2026-08-26,UPI,Completed,0.0,0.0
O024359,C04915,2025-07-06,Credit Card,Completed,124.28,0.0
O023111,C02450,2025-06-28,Cash on Delivery,Completed,0.0,0.0
O024442,C02957,2026-04-01,UPI,Completed,0.0,0.0
O007013,C00491,2025-05-22,UPI,Completed,395.4,0.0
O000429,C00241,2026-07-13,Credit Card,Completed,0.0,0.0
O017556,C04768,2026-05-27,UPI,Completed,0.0,0.0
O016895,C00282,2026-08-23,Credit Card,Completed,1413.91,0.0
O002905,C02003,2026-08-13,Credit Card,Completed,865.14,0.0
O003048,C04040,2026-07-07,Debit Card,Completed,462.34,0.0
O006780,C04452,2026-06-17,UPI,Completed,0.0,0.0
O002347,C01345,2026-05-16,UPI,Completed,0.0,0.0
O002534,C02909,2026-07-08,Net Banking,Completed,0.0,0.0
O016651,C00517,2025-10-14,Debit Card,Completed,219.01,0.0
O014145,C02280,2025-03-08,Cash on Delivery,Completed,0.0,0.0
O010125,C03804,2025-12-03,Debit Card,Completed,0.0,0.0
O012417,C01518,2025-11-19,UPI,Completed,286.16,0.0
O018965,C00484,2026-03-28,Net Banking,Completed,0.0,0.0
O004844,C03076,2025-10-30,UPI,Completed,0.0,0.0
O020735,C03641,2025-09-23,UPI,Completed,0.0,0.0
O015932,C04677,2026-01-04,Cash on Delivery,Completed,0.0,0.0
O008764,C02433,2026-04-24,UPI,Completed,0.0,0.0
O022331,C04119,2026-08-06,Credit Card,Completed,467.9,0.0
O024650,C04176,2026-07-24,Debit Card,Completed,709.69,0.0
O009184,C01238,2026-07-17,Credit Card,Completed,0.0,0.0
O025638,C03676,2026-06-07,Cash on Delivery,Completed,1292.17,0.0
O021026,C03384,2025-06-16,Debit Card,Completed,0.0,0.0
O023171,C00873,2025-12-07,Debit Card,Returned,0.0,0.0
O021636,C04945,2026-05-13,UPI,Completed,0.0,0.0
O020718,C01521,2026-02-20,Debit Card,Completed,0.0,0.0
O010431,C02023,2026-01-29,Credit Card,Completed,0.0,0.0
O004069,C00603,2025-09-24,Net Banking,Completed,0.0,0.0
O011616,C03719,2026-03-28,Debit Card,Completed,0.0,0.0
O009630,C01412,2026-04-10,Credit Card,Completed,0.0,0.0
O004739,C03978,2025-03-06,UPI,Completed,227.06,0.0
O017572,C02910,2025-07-08,Cash on Delivery,Returned,1530.53,0.0
O003400,C03623,2026-07-15,Net Banking,Completed,692.13,0.0
O020178,C00958,2025-01-13,UPI,Completed,484.56,0.0
O022867,C00794,2025-11-04,Credit Card,Completed,2405.42,0.0
O016425,C00494,2026-07-13,UPI,Completed,0.0,0.0
O007304,C04010,2026-08-02,UPI,Completed,372.84,0.0
O009199,C02291,2026-07-21,UPI,Completed,0.0,0.0
O024787,C02924,2026-04-28,Credit Card,Completed,0.0,49.0
O005260,C01002,2026-01-12,Cash on Delivery,Completed,0.0,0.0
O003582,C02768,2026-08-04,UPI,Returned,1158.42,0.0
O011936,C00265,2025-08-23,Credit Card,Completed,186.66,0.0
O016318,C03859,2025-10-05,UPI,Completed,0.0,0.0
O006552,C02125,2026-07-02,UPI,Returned,0.0,0.0
O007843,C02516,2026-07-06,Cash on Delivery,Completed,1110.88,0.0
O024264,C01575,2026-08-22,UPI,Completed,1134.88,0.0
O025550,C00513,2026-01-27,UPI,Completed,200.67,0.0
O010960,C00347,2026-02-24,Credit Card,Completed,0.0,0.0
O000398,C00995,2026-05-04,UPI,Completed,0.0,0.0
O019233,C02605,2025-06-26,UPI,Completed,736.82,0.0
O004745,C03978,2025-04-30,Credit Card,Completed,533.73,0.0
O022398,C02204,2026-02-08,UPI,Cancelled,1683.02,0.0
O027412,C04844,2025-11-06,UPI,Completed,627.96,0.0
O006625,C00495,2026-06-07,Net Banking,Completed,0.0,49.0
O021961,C03311,2026-02-19,UPI,Completed,0.0,0.0
O010169,C01922,2026-06-19,Net Banking,Completed,0.0,0.0
O013632,C02789,2025-09-22,Debit Card,Completed,0.0,0.0
O024531,C04511,2026-07-10,UPI,Completed,0.0,0.0
O006613,C03831,2026-05-02,Credit Card,Completed,0.0,0.0
O019012,C00586,2026-08-10,Debit Card,Completed,864.19,0.0
O005573,C02019,2025-10-21,Cash on Delivery,Completed,0.0,0.0
O005497,C01925,2025-10-19,Debit Card,Completed,516.22,0.0
O004037,C01627,2026-04-24,Credit Card,Completed,872.36,0.0
O027310,C02062,2025-12-15,Net Banking,Returned,0.0,0.0
O010018,C02314,2026-02-14,Debit Card,Completed,1116.29,0.0
O022335,C02609,2026-05-28,Credit Card,Completed,0.0,0.0
O022265,C04461,2026-07-03,Cash on Delivery,Pending,0.0,0.0
O008589,C00113,2026-08-04,UPI,Completed,24.2,49.0
O004388,C01150,2026-05-21,Debit Card,Completed,353.03,0.0
O006288,C04415,2026-04-15,Credit Card,Completed,1512.71,0.0
O013506,C01054,2026-08-16,UPI,Completed,0.0,0.0
O005219,C03350,2026-03-18,Debit Card,Completed,31.03,49.0
O010979,C00579,2025-11-05,Net Banking,Completed,0.0,0.0
O017565,C00159,2026-05-19,Cash on Delivery,Completed,0.0,0.0
